Team,Year,Player,FirstName,LastName,Position,GP,GS,Min,G,A,Shts,SOG
Chicago Fire,1998,Ante Razov,Ante,Razov,F,30,24,2091,10,9,88,41
Chicago Fire,1998,Roman Kosecki,Roman,Kosecki,F,25,25,1999,9,9,70,35
Chicago Fire,1998,Josh Wolff,Josh,Wolff,F,14,4,651,8,3,23,14
Chicago Fire,1998,Lubos Kubik,Lubos,Kubik,D,31,31,2790,7,8,67,24
Chicago Fire,1998,Jerzy Podbrozny,Jerzy,Podbrozny,F,26,25,1979,6,14,47,22
Chicago Fire,1998,Peter Nowak,Peter,Nowak,M,24,24,1921,6,12,38,20
Chicago Fire,1998,Frank Klopas,Frank,Klopas,F,27,17,1497,6,4,28,14
Chicago Fire,1998,Ritchie Kotschau,Ritchie,Kotschau,D,24,23,1973,4,3,24,7
Chicago Fire,1998,Jesse Marsch,Jesse,Marsch,M,29,25,2199,2,3,23,10
Chicago Fire,1998,C.J. Brown,C.J.,Brown,D,28,28,2470,2,0,4,3
Chicago Fire,1998,Chris Armas,Chris,Armas,M,31,31,2790,1,10,25,10
Chicago Fire,1998,Diego Gutierrez,Diego,Gutierrez,D,13,8,812,0,3,8,2
Chicago Fire,1998,Francis Okaroh,Francis,Okaroh,D,26,26,2294,0,3,0,0
Chicago Fire,1998,Jorge Salcedo,Jorge,Salcedo,M,11,6,625,0,2,10,4
Chicago Fire,1998,Andrew Lewis,Andrew,Lewis,M,13,6,623,0,1,0,0
Chicago Fire,1998,Zak Ibsen,Zak,Ibsen,M,27,5,908,0,1,26,10
Chicago Fire,1998,Zach Thornton,Zach,Thornton,GK,25,23,2076,0,1,0,0
Chicago Fire,1998,Chuck Codd,Chuck,Codd,D,0,0,0,0,0,0,0
Chicago Fire,1998,David Winner,David,Winner,GK,0,0,0,0,0,0,0
Chicago Fire,1998,Joe Carver,Joe,Carver,F,0,0,0,0,0,0,0
Chicago Fire,1998,Kevin Rueda,Kevin,Rueda,GK,0,0,0,0,0,0,0
Chicago Fire,1998,Michael Richardson,Michael,Richardson,D,1,0,6,0,0,0,0
Chicago Fire,1998,Manny Lagos,Manny,Lagos,M,1,0,11,0,0,0,0
Chicago Fire,1998,Scott Coufal,Scott,Coufal,GK,1,1,90,0,0,0,0
Chicago Fire,1998,Tony Kuhn,Tony,Kuhn,F,5,1,137,0,0,1,0
Chicago Fire,1999,Ante Razov,Ante,Razov,F,30,24,2068,14,7,90,49
Chicago Fire,1999,Josh Wolff,Josh,Wolff,F,28,17,1775,10,2,55,34
Chicago Fire,1999,Peter Nowak,Peter,Nowak,M,28,28,2480,6,8,35,15
Chicago Fire,1999,Lubos Kubik,Lubos,Kubik,D,27,27,2387,5,8,42,12
Chicago Fire,1999,Jerzy Podbrozny,Jerzy,Podbrozny,F,29,28,2357,4,8,60,23
Chicago Fire,1999,Roman Kosecki,Roman,Kosecki,F,25,23,1825,3,10,52,22
Chicago Fire,1999,Diego Gutierrez,Diego,Gutierrez,D,28,25,2164,3,5,26,9
Chicago Fire,1999,Dema Kovalenko,Dema,Kovalenko,M,11,1,291,3,0,8,7
Chicago Fire,1999,Chris Armas,Chris,Armas,M,22,22,1935,1,5,20,7
Chicago Fire,1999,Jesse Marsch,Jesse,Marsch,M,29,27,2364,1,2,15,7
Chicago Fire,1999,Tom Soehn,Tom,Soehn,D,23,14,1359,1,1,3,1
Chicago Fire,1999,Paul Dougherty,Paul,Dougherty,F,9,5,469,0,2,6,2
Chicago Fire,1999,C.J. Brown,C.J.,Brown,D,26,26,2238,0,2,6,2
Chicago Fire,1999,Andrew Lewis,Andrew,Lewis,M,9,3,363,0,1,1,0
Chicago Fire,1999,Frank Klopas,Frank,Klopas,F,13,7,476,0,1,10,6
Chicago Fire,1999,Sam George,Sam,George,M,10,9,765,0,1,3,0
Chicago Fire,1999,Evan Whitfield,Evan,Whitfield,D,0,0,0,0,0,0,0
Chicago Fire,1999,Jesse Van Saun,Jesse,Van Saun,F,0,0,0,0,0,0,0
Chicago Fire,1999,Jon Busch,Jon,Busch,GK,0,0,0,0,0,0,0
Chicago Fire,1999,Josh Keller,Josh,Keller,M,0,0,0,0,0,0,0
Chicago Fire,1999,Mike McGinty,Mike,McGinty,GK,0,0,0,0,0,0,0
Chicago Fire,1999,Dan Stebbins,Dan,Stebbins,F,1,0,45,0,0,1,0
Chicago Fire,1999,Ryan Tinsley,Ryan,Tinsley,D,3,1,67,0,0,0,0
Chicago Fire,1999,Jeff Zaun,Jeff,Zaun,D,1,1,90,0,0,0,0
Chicago Fire,1999,Manny Lagos,Manny,Lagos,M,9,0,135,0,0,4,1
Chicago Fire,2000,Ante Razov,Ante,Razov,F,24,24,2145,18,6,127,63
Chicago Fire,2000,Dema Kovalenko,Dema,Kovalenko,M,31,28,2429,10,5,52,35
Chicago Fire,2000,Hristo Stoitchkov,Hristo,Stoitchkov,F,18,12,987,9,7,54,24
Chicago Fire,2000,Josh Wolff,Josh,Wolff,F,25,20,1917,7,5,49,26
Chicago Fire,2000,Peter Nowak,Peter,Nowak,M,28,28,2402,5,14,36,17
Chicago Fire,2000,Lubos Kubik,Lubos,Kubik,D,13,12,973,3,6,27,11
